stage,selected_closure_method,selected_closure_status,selected_closure_elapsed_seconds,selected_closure_g_time,g_function_closure_efficiency,tp_corrected_seconds,tp_legacy_volume_over_rate_seconds,tp_correction_ratio,closure_elapsed_over_tp,selected_closure_pressure_mpa,pressure_at_shut_in_mpa,pkn_shutin_fluid_efficiency,efficiency_difference_pkn_minus_g_function,pkn_C_stage,stable_dP_dG_slope_mpa,stable_dP_dG_r2,stable_segment_start_elapsed_seconds,stable_segment_end_elapsed_seconds,early_transient_risk,water_hammer_plausibility_note,pkn_fluid_efficiency_warning,efficiency_reconciliation_warning,Gc_implied_by_g_function_efficiency,eta_G,Gc_for_20pct_efficiency,Gc_for_40pct_efficiency,closure_Gc_class,closure_elapsed_class,closure_elapsed_over_tp_class
1,barree,ok,376.0,0.0757013665558364,0.0364702590534234,10417.0,9567.863590772316,1.0887487996846683,0.03609484496496112,107.4317,109.8217,0.0787151356154149,0.0422448765619914,0.0005439912748582,-27.020601638095123,0.9886341967249868,15.0,376.0,True,,low_shutin_fluid_efficiency_check_C_or_leakoff_terms,efficiency_consistent_within_0p1,0.0757013665558364,0.0364702590534234,0.5,1.3333333333,very_low_Gc_lt_0p2,late_gt_300s,moderate_0p02_to_0p1
2,barree,ok,424.0,0.0851707765957378,0.0408459477524369,10367.0,9550.466906105696,1.085496667536986,0.0408990064628147,105.1083,108.2283,0.0661097902395991,0.0252638424871622,0.0006614528344951,-32.776092737140296,0.9671805356437504,15.0,424.0,False,,low_shutin_fluid_efficiency_check_C_or_leakoff_terms,efficiency_consistent_within_0p1,0.0851707765957378,0.0408459477524369,0.5,1.3333333333,very_low_Gc_lt_0p2,late_gt_300s,moderate_0p02_to_0p1
3,barree,ok,521.0,0.1061131211239413,0.0503833911197103,10077.0,10154.670658682637,0.9923512380368316,0.05170189540537858,106.3457,110.2257,0.0755064368137577,0.0251230456940474,0.0007049860932077,-34.44117249803211,0.9121868329706336,15.0,521.0,False,,low_shutin_fluid_efficiency_check_C_or_leakoff_terms,efficiency_consistent_within_0p1,0.1061131211239413,0.0503833911197103,0.5,1.3333333333,very_low_Gc_lt_0p2,late_gt_300s,moderate_0p02_to_0p1
4,none,not_computed,,,,,,,,,,,,,,,,,False,,,missing_efficiency_reference,,,0.5,1.3333333333,invalid_Gc,invalid_elapsed,invalid_elapsed_over_tp
5,mcclure,ok,70.0,0.01524852417636,0.0075665725559045,10247.0,10057.466334164586,1.018845070869547,0.0068312676881038354,112.8496,117.7796,0.0051286958754995,-0.0024378766804049,0.0188824090273292,-930.2239518263252,0.8144224492864846,29.0,44.0,True,,very_low_shutin_fluid_efficiency_check_C_units_or_stable_slope,efficiency_consistent_within_0p1,0.01524852417636,0.0075665725559045,0.5,1.3333333333,very_low_Gc_lt_0p2,middle_60_300s,small_0p005_to_0p02
6,barree,ok,703.0,0.1403339951965227,0.0655664001559894,10065.0,10029.610778443111,1.0035284740692978,0.06984600099354198,107.5246,112.4546,0.0873376876039418,0.0217712874479523,0.0007242729166271,-35.36233090608778,0.8867283174635459,15.0,703.0,True,,low_shutin_fluid_efficiency_check_C_or_leakoff_terms,efficiency_consistent_within_0p1,0.1403339951965227,0.0655664001559894,0.5,1.3333333333,very_low_Gc_lt_0p2,late_gt_300s,moderate_0p02_to_0p1
7,barree,ok,941.0,0.1856121958370126,0.0849245791136014,9935.0,9903.70887337986,1.0031595361919663,0.09471565173628586,109.7001,118.5301,0.1753089107570265,0.090384331643425,0.0004705110140222,-22.82366995243177,0.9052060550338256,15.0,941.0,True,,below_20pct_reference_check_local_assumptions,efficiency_consistent_within_0p1,0.1856121958370126,0.0849245791136014,0.5,1.3333333333,very_low_Gc_lt_0p2,late_gt_300s,moderate_0p02_to_0p1
8,barree,ok,699.0,0.1025901667538175,0.0487922793400133,14017.0,10026.047904191617,1.3980583510018814,0.04986801740743383,110.1377,119.1577,0.0955491044910584,0.046756825151045,0.0007048031707331,-40.6094525135682,0.8898714663950992,15.0,699.0,True,,low_shutin_fluid_efficiency_check_C_or_leakoff_terms,efficiency_consistent_within_0p1,0.1025901667538175,0.0487922793400133,0.5,1.3333333333,very_low_Gc_lt_0p2,late_gt_300s,moderate_0p02_to_0p1
9,barree,ok,355.0,0.0698936489583334,0.0337667826525808,10701.0,10196.764852720917,1.0494505026409953,0.03317446967573124,110.4999,113.7699,0.0640115610218699,0.0302447783692891,0.0009211400356988,-46.37346946741362,0.9496888091919796,15.0,355.0,True,,low_shutin_fluid_efficiency_check_C_or_leakoff_terms,efficiency_consistent_within_0p1,0.0698936489583334,0.0337667826525808,0.5,1.3333333333,very_low_Gc_lt_0p2,late_gt_300s,moderate_0p02_to_0p1
10,barree,ok,760.0,0.1462381503299012,0.0681369634154638,10406.0,10003.892215568863,1.0401951336306228,0.07303478762252547,109.8725,114.1825,0.0684008522933026,0.0002638888778388,0.0008867818225766,-44.024095477400856,0.9288133655250128,15.0,760.0,True,,low_shutin_fluid_efficiency_check_C_or_leakoff_terms,efficiency_consistent_within_0p1,0.1462381503299012,0.0681369634154638,0.5,1.3333333333,very_low_Gc_lt_0p2,late_gt_300s,moderate_0p02_to_0p1
11,barree,ok,535.0,0.1101101624768113,0.0521821867098947,9946.0,9706.616766467068,1.0246618610059808,0.053790468530062335,110.2888,119.8388,0.0659553055841302,0.0137731188742355,0.0013081614376344,-63.49175310697185,0.95631763296579,15.0,535.0,True,,low_shutin_fluid_efficiency_check_C_or_leakoff_terms,efficiency_consistent_within_0p1,0.1101101624768113,0.0521821867098947,0.5,1.3333333333,very_low_Gc_lt_0p2,late_gt_300s,moderate_0p02_to_0p1
12,barree,ok,408.0,0.0792588068682866,0.0381187789641558,10767.0,9791.598401598403,1.099616176889196,0.03789356366675954,115.2092,120.6392,0.0655381243188585,0.0274193453547026,0.0013140753196049,-66.35892833914609,0.9826834913373204,15.0,408.0,True,,low_shutin_fluid_efficiency_check_C_or_leakoff_terms,efficiency_consistent_within_0p1,0.0792588068682866,0.0381187789641558,0.5,1.3333333333,very_low_Gc_lt_0p2,late_gt_300s,moderate_0p02_to_0p1
13,barree,ok,498.0,0.1007258919398383,0.047948136559038,10184.0,9776.914628057912,1.041637406833218,0.04890023566378633,114.0977,120.7277,0.0677951562291193,0.0198470196700813,0.0013083971440115,-64.25849229236424,0.9572002059626454,15.0,498.0,False,,low_shutin_fluid_efficiency_check_C_or_leakoff_terms,efficiency_consistent_within_0p1,0.1007258919398383,0.047948136559038,0.5,1.3333333333,very_low_Gc_lt_0p2,late_gt_300s,moderate_0p02_to_0p1
14,barree,ok,719.0,0.1425621180846588,0.0665381492939407,10120.0,9783.318385650224,1.03441384621026,0.07104743083003953,112.5092,118.9292,0.1023232758285624,0.0357851265346217,0.0007593816278832,-37.17766336701263,0.924191325076089,15.0,719.0,True,,below_20pct_reference_check_local_assumptions,efficiency_consistent_within_0p1,0.1425621180846588,0.0665381492939407,0.5,1.3333333333,very_low_Gc_lt_0p2,late_gt_300s,moderate_0p02_to_0p1
15,barree,ok,737.0,0.1419726793727349,0.0662812746119202,10420.0,10041.056829511466,1.0377393711561107,0.07072936660268714,113.0979,118.7379,0.0948318351926804,0.0285505605807601,0.0008079891902539,-40.13942608822044,0.9416691119566596,15.0,737.0,True,,low_shutin_fluid_efficiency_check_C_or_leakoff_terms,efficiency_consistent_within_0p1,0.1419726793727349,0.0662812746119202,0.5,1.3333333333,very_low_Gc_lt_0p2,late_gt_300s,moderate_0p02_to_0p1
16,barree,ok,935.0,0.1667932970493636,0.0769770228090029,11096.0,9999.899849774663,1.109611112780298,0.0842645998558039,109.097,116.087,0.1066582765983287,0.0296812537893257,0.0005963571234184,-30.57182633400711,0.9263196350305144,15.0,935.0,True,,below_20pct_reference_check_local_assumptions,efficiency_consistent_within_0p1,0.1667932970493636,0.0769770228090029,0.5,1.3333333333,very_low_Gc_lt_0p2,late_gt_300s,moderate_0p02_to_0p1
17,barree,ok,387.0,0.0538753548855084,0.026231073252501,15340.0,10198.50448654038,1.5041421043884602,0.025228161668839635,114.2181,119.7081,0.0400462642875757,0.0138151910350746,0.0017826204888572,-107.44923363009735,0.9869951416909892,15.0,387.0,False,,very_low_shutin_fluid_efficiency_check_C_units_or_stable_slope,efficiency_consistent_within_0p1,0.0538753548855084,0.026231073252501,0.5,1.3333333333,very_low_Gc_lt_0p2,late_gt_300s,moderate_0p02_to_0p1
18,barree,ok,765.0,0.1478193885591159,0.0688230068815431,10353.0,10005.822532402792,1.034697544002296,0.07389162561576355,109.1321,116.4121,0.0784648737401242,0.009641866858581,0.0008935556282662,-44.24726692781667,0.9679549122268288,15.0,765.0,True,,low_shutin_fluid_efficiency_check_C_or_leakoff_terms,efficiency_consistent_within_0p1,0.1478193885591159,0.0688230068815431,0.5,1.3333333333,very_low_Gc_lt_0p2,late_gt_300s,moderate_0p02_to_0p1
19,barree,ok,765.0,0.1446900441493857,0.0674643147358721,10596.0,10005.822532402792,1.0589834034819208,0.07219705549263873,109.1486,116.4286,0.0763037731746501,0.0088394584387779,0.0009022280258075,-45.1979811657909,0.9678623149425624,15.0,765.0,True,,low_shutin_fluid_efficiency_check_C_or_leakoff_terms,efficiency_consistent_within_0p1,0.1446900441493857,0.0674643147358721,0.5,1.3333333333,very_low_Gc_lt_0p2,late_gt_300s,moderate_0p02_to_0p1
20,barree,ok,807.0,0.1557054269606453,0.0722294544575954,10322.0,9955.152119700748,1.0368500527051996,0.07818252276690564,110.1417,115.7517,0.105218508745642,0.0329890542880465,0.0006136127385516,-30.339473710235577,0.9689026825056364,15.0,807.0,True,,below_20pct_reference_check_local_assumptions,efficiency_consistent_within_0p1,0.1557054269606453,0.0722294544575954,0.5,1.3333333333,very_low_Gc_lt_0p2,late_gt_300s,moderate_0p02_to_0p1
21,barree,ok,520.0,0.0783785344371242,0.0377113856491743,13886.0,10106.440677966102,1.373975313611055,0.03744778914014115,110.8697,113.4697,0.0902621881758323,0.0525508025266579,0.0005421280747261,-31.090107763433696,0.9820180482503662,15.0,520.0,True,,low_shutin_fluid_efficiency_check_C_or_leakoff_terms,efficiency_consistent_within_0p1,0.0783785344371242,0.0377113856491743,0.5,1.3333333333,very_low_Gc_lt_0p2,late_gt_300s,moderate_0p02_to_0p1
22,barree,ok,770.0,0.1470088346318915,0.0684714623715539,10483.0,10120.119581464873,1.035857325164393,0.07345225603357818,108.8175,115.4175,0.125917925009465,0.057446462637911,0.0004833152095612,-24.08269046894603,0.9101394725711882,15.0,770.0,True,,below_20pct_reference_check_local_assumptions,efficiency_consistent_within_0p1,0.1470088346318915,0.0684714623715539,0.5,1.3333333333,very_low_Gc_lt_0p2,late_gt_300s,moderate_0p02_to_0p1
23,barree,ok,659.0,0.1316194471468348,0.0617462217859792,10112.0,9719.973073375058,1.0403321000650487,0.06517009493670886,109.0471,112.0771,0.1149194115889071,0.0531731898029279,0.000434670149282,-21.272086747772825,0.9679826523961202,15.0,659.0,True,,below_20pct_reference_check_local_assumptions,efficiency_consistent_within_0p1,0.1316194471468348,0.0617462217859792,0.5,1.3333333333,very_low_Gc_lt_0p2,late_gt_300s,moderate_0p02_to_0p1
24,barree,ok,858.0,0.1962485975991571,0.089356276795663,8521.0,8501.612368856986,1.002280465199053,0.10069240699448422,108.5759,112.5559,0.1498644312057473,0.0605081544100842,0.0004221615767871,-18.96512609371453,0.9739830658291696,15.0,858.0,True,,below_20pct_reference_check_local_assumptions,efficiency_consistent_within_0p1,0.1962485975991571,0.089356276795663,0.5,1.3333333333,very_low_Gc_lt_0p2,late_gt_300s,large_ge_0p1
25,none,not_computed,,,,,,,,,,,,,,,,,False,,,missing_efficiency_reference,,,0.5,1.3333333333,invalid_Gc,invalid_elapsed,invalid_elapsed_over_tp
26,barree,ok,713.0,0.1402346386152089,0.0655230207403542,10216.0,9843.441396508728,1.037848409766874,0.06979248238057949,111.9535,114.4635,0.1439725524273906,0.0784495316870364,0.0003451634198244,-17.896159302154896,0.9287712930227608,15.0,713.0,False,,below_20pct_reference_check_local_assumptions,efficiency_consistent_within_0p1,0.1402346386152089,0.0655230207403542,0.5,1.3333333333,very_low_Gc_lt_0p2,late_gt_300s,moderate_0p02_to_0p1
27,barree,ok,569.0,0.1145601071861022,0.0541768033912973,10138.0,9790.204488778056,1.0355248464544946,0.05612546853422766,112.5277,113.9677,0.2564241986025623,0.2022473952112649,0.0001575821947805,-8.139128778266354,0.8025836047824148,93.0,569.0,False,,no_low_efficiency_warning,pkn_efficiency_much_higher_than_g_function_check_storage,0.1145601071861022,0.0541768033912973,0.5,1.3333333333,very_low_Gc_lt_0p2,late_gt_300s,moderate_0p02_to_0p1
28,barree,ok,495.0,0.0998914045200975,0.047569795421362,10213.0,9871.061285500746,1.0346405218860828,0.048467639283266424,107.3425,109.2425,0.0563055855185644,0.0087357900972024,0.0006312579352082,-32.7248864262163,0.9448333258284888,15.0,495.0,True,,low_shutin_fluid_efficiency_check_C_or_leakoff_terms,efficiency_consistent_within_0p1,0.0998914045200975,0.047569795421362,0.5,1.3333333333,very_low_Gc_lt_0p2,late_gt_300s,moderate_0p02_to_0p1
29,barree,ok,346.0,0.0264490541025125,0.0130519215614953,28745.0,9328.444666001997,3.081435440654181,0.012036875978431031,112.0772,127.7172,0.014970673750089,0.0019187521885936,0.0045394658414799,-394.8030876771036,0.888107636113552,15.0,346.0,False,,very_low_shutin_fluid_efficiency_check_C_units_or_stable_slope,efficiency_consistent_within_0p1,0.0264490541025125,0.0130519215614953,0.5,1.3333333333,very_low_Gc_lt_0p2,late_gt_300s,small_0p005_to_0p02
30,barree,ok,416.0,0.0866990860573421,0.041548437259899,9981.0,9698.545816733067,1.0291233540165998,0.04167919046187757,108.2513,112.7913,0.0598659196770938,0.0183174824171948,0.0008327945193967,-42.67951915128282,0.9260390578626612,15.0,416.0,True,,low_shutin_fluid_efficiency_check_C_or_leakoff_terms,efficiency_consistent_within_0p1,0.0866990860573421,0.041548437259899,0.5,1.3333333333,very_low_Gc_lt_0p2,late_gt_300s,moderate_0p02_to_0p1
